"COUNTRY","YEAR","SCENARIO","ISCO08_3D","ISCO88_3D","THS_POP","FLAG_RELIAB","OBS_STATUS"
"BE",2022,"S_AA",343,"Not stated",17395,,
"BE",2022,"S_AA",441,"Not stated",46515,,
"BE",2022,"S_AA",622,"Not stated",,"x",
"BE",2022,"S_AA",834,"Not stated",37847,,
"BE",2022,"S_AA",131,"Not stated",,"x",
"BE",2022,"S_AA",513,"Not stated",61998,,
"BE",2022,"S_AA",812,"Not stated",15137,,
"BE",2022,"S_AA",523,"Not stated",44722,,
"BE",2022,"S_AA",311,"Not stated",72627,,
"BE",2022,"S_AA",751,"Not stated",36421,,
"BE",2022,"S_AA",121,"Not stated",61547,,
"BE",2022,"S_AA",817,"Not stated",2018,"u",
"BE",2022,"S_AA",833,"Not stated",75627,,
"BE",2022,"S_AA",262,"Not stated",4923,"u",
"BE",2022,"S_AA",322,"Not stated",78221,,
"BE",2022,"S_AA",732,"Not stated",8545,,
"BE",2022,"S_AA",351,"Not stated",21993,,
"BE",2022,"S_AA",334,"Not stated",146379,,
"BE",2022,"S_AA",753,"Not stated",7382,,
"BE",2022,"S_AA",932,"Not stated",13985,,
"BE",2022,"S_AA",315,"Not stated",7297,,
"BE",2022,"S_AA",541,"Not stated",59709,,
"BE",2022,"S_AA",422,"Not stated",59355,,
"BE",2022,"S_AA",332,"Not stated",81141,,
"BE",2022,"S_AA",815,"Not stated",8269,,
"BE",2022,"S_AA",961,"Not stated",14867,,
"BE",2022,"S_AA",251,"Not stated",149345,,
"BE",2022,"S_AA",143,"Not stated",3932,"u",
"BE",2022,"S_AA",911,"Not stated",219346,,
"BE",2022,"S_AA",742,"Not stated",11618,,
"BE",2022,"S_AA",631,"Not stated",,"x",
"BG",2022,"S_AA",216,"Not stated",12935,,
"BG",2022,"S_AA",831,"Not stated","9,17",,
"BG",2022,"S_AA",817,"Not stated",5891,"u",
"BG",2022,"S_AA",754,"Not stated",15631,,
"BG",2022,"S_AA",631,"Not stated",,"x",
"BG",2022,"S_AA",242,"Not stated",50763,,
"BG",2022,"S_AA","Not applicable","Not stated",2666991,,
